name,length,duration,num_positives,num_negatives,num_puppetmaster,num_sockpuppets,min_message_length,ave_message_length,max_message_length,max_page_length,ave_page_length,min_page_length
Category_Wikipedia_sockpuppets_of_Jishnusavith.csv,9081,50695820.0,2837,6244,500,2337,0,50.14117387952869,499,59,17.881731086884706,3
Category_Wikipedia_sockpuppets_of_Namuslu.csv,1810,27028117.0,572,1238,500,72,0,42.51933701657459,254,47,11.064640883977901,3
Category_Wikipedia_sockpuppets_of_Auroranorth.csv,2125,23150875.0,684,1441,500,184,0,32.77741176470588,255,94,26.028235294117646,2
Category_Wikipedia_sockpuppets_of_Gokulakannan_SK.csv,78,18681807.0,52,26,51,1,0,31.833333333333332,130,42,21.974358974358974,12
Category_Wikipedia_sockpuppets_of_Susanjane102.csv,403,65858096.0,115,288,40,75,0,37.8287841191067,263,59,19.732009925558312,6
Category_Wikipedia_sockpuppets_of_Paris91.csv,4571,38131477.0,1651,2920,500,1151,0,44.74732006125574,503,79,18.05381754539488,3
Category_Wikipedia_sockpuppets_of_Elspeth_Monro.csv,7134,275872673.0,2406,4728,500,1906,0,39.12755817213345,255,96,19.236192879170172,3
Category_Wikipedia_sockpuppets_of_Sanjay_Mehta_07.csv,136,425960.0,69,67,28,41,0,34.25735294117647,236,33,14.713235294117647,6
Category_Wikipedia_sockpuppets_of_Melissaburner.csv,82,777579.0,30,52,28,2,0,40.926829268292686,212,24,16.414634146341463,10
Category_Wikipedia_sockpuppets_of_Hamzaramzan123.csv,166,5914471.0,66,100,18,48,0,49.234939759036145,238,31,15.289156626506024,5
Category_Wikipedia_sockpuppets_of_CSpotifyRemix1394.csv,38,7646697.0,16,22,13,3,0,56.421052631578945,227,35,27.973684210526315,21
Category_Wikipedia_sockpuppets_of_Goat_boy_doyle.csv,38,2111.0,12,26,8,4,0,75.26315789473684,215,30,14.552631578947368,5
Category_Wikipedia_sockpuppets_of_ArmanAfifeh.csv,5273,226133712.0,1815,3458,199,1616,0,49.012706239332445,494,65,20.034136165370757,4
Category_Wikipedia_sockpuppets_of_Zionzina.csv,296,48394186.0,89,207,55,34,0,55.695945945945944,218,38,19.091216216216218,4
Category_Wikipedia_sockpuppets_of_Spidey369.csv,37,924171.0,33,4,25,8,0,53.86486486486486,396,18,17.91891891891892,17
Category_Wikipedia_sockpuppets_of_Edsheeranhater.csv,1399,5841630.0,499,900,337,162,0,37.507505360972125,291,53,13.69120800571837,3
Category_Wikipedia_sockpuppets_of_AgentSullivan17.csv,77,8654855.0,46,31,42,4,0,28.16883116883117,350,12,12.0,12
Category_Wikipedia_sockpuppets_of_Altman.csv,6342,414692906.0,2153,4189,500,1653,0,43.065279091769156,255,72,19.807316304005045,3
Category_Wikipedia_sockpuppets_of_The_Right_Honourable_Bonney_Eberndu.csv,83,424376.0,32,51,17,15,0,48.66265060240964,220,46,13.25301204819277,8
Category_Wikipedia_sockpuppets_of_NPOV_npov.csv,121,7505916.0,38,83,17,21,0,46.099173553719005,225,52,21.00826446280992,11
Category_Wikipedia_sockpuppets_of_Bob_Marly_and_the_Seven_Cats.csv,33,510092.0,13,20,13,0,0,25.12121212121212,160,20,10.515151515151516,6
Category_Wikipedia_sockpuppets_of_Rayanmou07.csv,306,12268444.0,112,194,61,51,0,57.27450980392157,423,54,32.745098039215684,7
Category_Wikipedia_sockpuppets_of_Punk_Rocker.csv,2806,90929012.0,673,2133,500,173,0,30.672843905915894,217,60,16.131147540983605,2
Category_Wikipedia_sockpuppets_of_SilviaGrisenti.csv,140,64110918.0,90,50,22,68,0,44.97142857142857,213,36,20.814285714285713,12
Category_Wikipedia_sockpuppets_of_Dxasadakbar.csv,8,39183.0,4,4,4,0,10,61.5,146,23,21.75,21
Category_Wikipedia_sockpuppets_of_Cuddlyable3.csv,6239,276634820.0,1617,4622,500,1117,0,51.48741785542555,261,74,32.18977400224395,3
Category_Wikipedia_sockpuppets_of_Random_account_39949472.csv,10282,179536987.0,3365,6917,500,2865,0,37.4169422291383,255,93,19.94718926278934,3
Category_Wikipedia_sockpuppets_of_Editor940.csv,1236,32973681.0,484,752,430,54,0,39.733818770226534,373,53,24.39482200647249,9
Category_Wikipedia_sockpuppets_of_Hungry_Hungry_Troll.csv,1283,124960730.0,319,964,268,51,0,36.354637568199536,246,71,27.835541699142635,2
Category_Wikipedia_sockpuppets_of_Ghumen.csv,1629,279297694.0,435,1194,182,253,0,46.3683241252302,363,39,17.65377532228361,5
Category_Wikipedia_sockpuppets_of_Chris_sirleaf_dukuly.csv,13,2830673.0,10,3,7,3,0,8.76923076923077,71,12,12.0,12
Category_Wikipedia_sockpuppets_of_Weelandlka.csv,1543,13035226.0,517,1026,500,17,0,60.31302657161374,371,66,18.946856772521063,6
Category_Wikipedia_sockpuppets_of_Viewpointassist.csv,56,111720401.0,14,42,6,8,0,40.339285714285715,351,13,12.482142857142858,12
Category_Wikipedia_sockpuppets_of_All-American_Politics_Fan.csv,15,497901.0,10,5,1,9,50,106.06666666666666,199,44,33.333333333333336,16
Category_Wikipedia_sockpuppets_of_Una667770.csv,57,326095.0,26,31,25,1,0,46.45614035087719,188,38,27.07017543859649,12
Category_Wikipedia_sockpuppets_of_Superamb.csv,1,0.0,1,0,1,0,195,195.0,195,9,9.0,9
Category_Wikipedia_sockpuppets_of_Goramon.csv,726,29345696.0,253,473,139,114,0,58.51790633608815,217,63,24.18732782369146,8
Category_Wikipedia_sockpuppets_of_Aojt_Hep_Wuo.csv,62,40855288.0,19,43,5,14,0,34.04838709677419,187,37,25.612903225806452,8
Category_Wikipedia_sockpuppets_of_OttomanJackson.csv,1867,87962476.0,559,1308,500,59,0,46.59346545259775,257,75,21.898768077129084,5
