timestamp,revid,parentid,sock,user,page,message
2016-08-11T17:44:30+00:00,734030412,733987463,1,Orchon,Diyar Al Muharraq,Undid revision 733987463 by [[Special:Contributions/Denisarona|Denisarona]] ([[User talk:Denisarona|talk]])
2016-08-11T17:42:21+00:00,734030040,734000959,1,Orchon,Sawa Lake,Undid revision 734000959 by [[Special:Contributions/Denisarona|Denisarona]] ([[User talk:Denisarona|talk]])
2016-08-11T17:40:31+00:00,734029705,734001015,1,Orchon,Busaiteen,Undid revision 734001015 by [[Special:Contributions/Denisarona|Denisarona]] ([[User talk:Denisarona|talk]])
2016-08-11T17:39:59+00:00,734029608,734000986,1,Orchon,Arabic names of Gregorian months,Undid revision 734000986 by [[Special:Contributions/Denisarona|Denisarona]] ([[User talk:Denisarona|talk]])
2016-08-12T07:39:02+00:00,734116941,734036196,1,Orchos,Sawa Lake,Undid revision 734036196 by [[Special:Contributions/Sro23|Sro23]] ([[User talk:Sro23|talk]])
2016-08-12T07:38:35+00:00,734116907,734036199,1,Orchos,Busaiteen,Undid revision 734036199 by [[Special:Contributions/Sro23|Sro23]] ([[User talk:Sro23|talk]])
2016-08-12T07:38:09+00:00,734116874,734000974,1,Orchos,Arab cuisine,Undid revision 734000974 by [[Special:Contributions/Denisarona|Denisarona]] ([[User talk:Denisarona|talk]])
2016-08-12T07:37:32+00:00,734116835,734036128,1,Orchos,Arabic names of Gregorian months,Undid revision 734036128 by [[Special:Contributions/Kamran the Great|Kamran the Great]] ([[User talk:Kamran the Great|talk]])
2016-08-11T18:26:20+00:00,734036128,734029608,0,Kamran the Great,Arabic names of Gregorian months,Undid revision 733986864 by [[Special:Contributions/95.145.127.195|95.145.127.195]] ([[User talk:95.145.127.195|talk]]) undid vandalism.
2016-08-11T18:26:51+00:00,734036192,734030412,0,Sro23,Diyar Al Muharraq,Reverted edits by [[Special:Contribs/Orchon|Orchon]] ([[User talk:Orchon|talk]]) to last version by Denisarona
2016-08-11T18:26:53+00:00,734036199,734029705,0,Sro23,Busaiteen,Reverted edits by [[Special:Contribs/Orchon|Orchon]] ([[User talk:Orchon|talk]]) to last version by Denisarona
2016-08-11T18:26:53+00:00,734036196,734030040,0,Sro23,Sawa Lake,Reverted edits by [[Special:Contribs/Orchon|Orchon]] ([[User talk:Orchon|talk]]) to last version by Denisarona
2016-08-11T13:48:16+00:00,734000974,733994894,0,Denisarona,Arab cuisine,Reverted edits by [[Special:Contribs/95.145.127.195|95.145.127.195]] ([[User talk:95.145.127.195|talk]]) to last version by Denisarona
