timestamp,revid,parentid,sock,user,page,message
2022-12-10T15:23:30+00:00,1126662706,1126631787,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ ce
2022-12-10T11:02:03+00:00,1126631787,1126528789,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ William L. Mercereau another possible book
2022-12-09T20:19:32+00:00,1126521440,1126514598,1,Doug_Coldwell,User talk:Doug Coldwell,newspaper articles about my Wikipedia activities
2022-12-09T19:30:40+00:00,1126514598,1126481455,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ links
2022-12-09T15:35:32+00:00,1126481455,1126443490,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ ce
2022-12-09T10:28:42+00:00,1126443490,1126442871,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ better link
2022-12-09T10:23:14+00:00,1126442871,1126440144,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ ce
2022-12-09T09:59:23+00:00,1126440144,1126361883,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ line break
2022-12-08T22:30:50+00:00,1126354268,1126349002,1,Doug_Coldwell,User talk:Doug Coldwell,
2022-12-08T21:54:11+00:00,1126349002,1126347430,1,Doug_Coldwell,User talk:Doug Coldwell,note to Etriusus on Stearns book
2022-12-08T20:55:39+00:00,1126340608,1126333516,1,Doug_Coldwell,User talk:Doug Coldwell,Note to Etriusus on professor picture
2022-12-08T20:05:54+00:00,1126333516,1126258065,1,Doug_Coldwell,User talk:Doug Coldwell,added picture of professor with book
2022-12-08T10:06:48+00:00,1126253865,1125951184,1,Doug_Coldwell,User talk:Doug Coldwell,Reason for unblock
2022-12-06T19:17:16+00:00,1125951184,1125950659,1,Doug_Coldwell,User talk:Doug Coldwell,sign
2022-12-06T19:13:10+00:00,1125950659,1125935993,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ ce
2022-12-06T15:46:11+00:00,1125919464,1125896540,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ reply to Etriusus
2022-12-06T12:57:15+00:00,1125896540,1125820576,1,Doug_Coldwell,User talk:Doug Coldwell,/* For what its Worth */ reply to User Etriusus
2022-11-20T11:09:10+00:00,1122886968,1121577364,1,Doug_Coldwell,User talk:Doug Coldwell,restore Archive 30
2022-11-08T22:38:29+00:00,1120806057,1120805684,1,Doug_Coldwell,User talk:Doug Coldwell,cut for Archive 30
2022-11-08T22:36:32+00:00,1120805684,1120705468,1,Doug_Coldwell,User talk:Doug Coldwell,preparation for Archive 30
2022-11-08T11:03:07+00:00,1120705468,1120661646,1,Doug_Coldwell,User talk:Doug Coldwell,/* A barnstar for you! */ Gwillhickers - Thanks for kind words
2022-11-07T18:51:36+00:00,1120576179,1120561963,1,Doug_Coldwell,User talk:Doug Coldwell,/* A barnstar for you! */ Thanks for barnstar!
2022-11-05T14:47:40+00:00,1120169144,1120166103,1,Doug_Coldwell,User talk:Doug Coldwell,/* Moving forward */ retiring
2022-11-05T11:07:34+00:00,1120141583,1120140104,1,Doug_Coldwell,User talk:Doug Coldwell,/* Moving forward */ Reply
2022-10-30T17:23:40+00:00,1119090027,1119087692,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */ unblock request
2022-10-30T17:09:16+00:00,1119087692,1119078919,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */ There is no disruptive edits
2022-10-30T16:09:35+00:00,1119078919,1119073690,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */ disruptive edits ???
2022-10-30T15:32:52+00:00,1119073690,1119071512,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */ material came from reference books
2022-10-30T14:39:49+00:00,1119065952,1119064115,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */ I would be willing to upgrade Henry L. Haskell
2022-10-30T13:51:52+00:00,1119059303,1119055779,1,Doug_Coldwell,User talk:Doug Coldwell,/* My method of developing an article */  I certainly can work on additional issues
2022-10-30T12:07:15+00:00,1119046023,1119042807,1,Doug_Coldwell,User talk:Doug Coldwell,/* October 2022 */ My method to make an article
2022-10-29T10:29:08+00:00,1118862518,1118007994,1,Doug_Coldwell,User talk:Doug Coldwell,/* October 2022 */ asking to be unblocked
2022-10-24T11:55:22+00:00,1117951392,1117949852,1,Doug_Coldwell,Wikipedia:Administrators' noticeboard/Incidents,/* User Doug Coldwell at Haskelite Building and 801 N. Rowe Street */ I believe an administrator should look at this.
2022-10-24T11:32:36+00:00,1117948708,1117948378,1,Doug_Coldwell,Wikipedia:Administrators' noticeboard/Incidents,/* User Doug Coldwell at Haskelite Building and 801 N. Rowe Street */ ce
2022-10-24T11:30:00+00:00,1117948378,1117947874,1,Doug_Coldwell,Wikipedia:Administrators' noticeboard/Incidents,/* User Doug Coldwell at Haskelite Building and 801 N. Rowe Street */ link
2022-10-24T11:26:01+00:00,1117947874,1117942489,1,Doug_Coldwell,Wikipedia:Administrators' noticeboard/Incidents,/* User Doug Coldwell at Haskelite Building and 801 N. Rowe Street */ merged into 801 N Rowe Street I can do
2022-10-24T08:45:02+00:00,1117929503,1117926421,1,Doug_Coldwell,Wikipedia:Administrators' noticeboard/Incidents,/* User Doug Coldwell at Haskelite Building and 801 N. Rowe Street */ I would think it would be correct to improve on my own work.
2022-10-23T20:53:52+00:00,1117834845,1117830647,1,Doug_Coldwell,Haskelite Building,ce
2022-10-23T20:49:34+00:00,1117834173,1117831009,1,Doug_Coldwell,801 N. Rowe Street,/* References */ not needed
2022-10-23T20:29:04+00:00,1117831009,1117830400,1,Doug_Coldwell,801 N. Rowe Street,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.2
2022-10-23T20:28:02+00:00,1117830852,1117830073,1,Doug_Coldwell,Talk:801 N. Rowe Street,links
2022-10-23T20:26:30+00:00,1117830647,1117829430,1,Doug_Coldwell,Haskelite Building,merge template
2022-10-23T20:24:52+00:00,1117830400,1117829575,1,Doug_Coldwell,801 N. Rowe Street,merge template
2022-10-23T20:22:42+00:00,1117830073,0,1,Doug_Coldwell,Talk:801 N. Rowe Street,/* Proposed merge of Haskelite Building into 801 N. Rowe Street */ new section
2022-10-23T20:19:35+00:00,1117829575,0,1,Doug_Coldwell,801 N. Rowe Street,new article
2022-10-23T20:18:57+00:00,1117829430,1117824708,1,Doug_Coldwell,Haskelite Building,link for new article
2022-10-23T18:26:09+00:00,1117811652,1117689074,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ the article is complete
2022-10-23T16:47:05+00:00,1117796587,1117792623,1,Doug_Coldwell,Talk:Haskell Manufacturing Company,/* Proposed merge of Haskelite Manufacturing Corporation into Haskell Manufacturing Company */ ce
2022-10-23T16:21:46+00:00,1117792623,1117746547,1,Doug_Coldwell,Talk:Haskell Manufacturing Company,ce
2022-10-23T10:26:53+00:00,1117746547,1116518845,1,Doug_Coldwell,Talk:Haskell Manufacturing Company,/* Proposed merge of Haskelite Manufacturing Corporation into Haskell Manufacturing Company */ these two articles they both still meet the criteria for a Good Article
2022-10-22T17:55:12+00:00,1117617793,1117615118,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ It was only 175 feet long by 28.5 feet wide.
2022-10-22T17:38:50+00:00,1117615118,1117612483,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ carried the railroad freight for only one season in 1875
2022-10-22T17:21:38+00:00,1117612483,1117610193,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ ce
2022-10-22T17:06:29+00:00,1117610193,1117609272,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ Two different life histories
2022-10-22T17:00:12+00:00,1117609272,1117600703,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ out of Ludington
2022-10-22T16:03:47+00:00,1117600703,1117596692,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ fix
2022-10-22T15:37:38+00:00,1117596692,1117594089,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ a group of side-propellers
2022-10-22T15:20:35+00:00,1117594089,1117589608,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */  Descriptions of two different ships.
2022-10-22T14:54:26+00:00,1117589608,1117588625,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ link for United States Revenue Cutter Service
2022-10-22T14:48:33+00:00,1117588625,1117581813,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ E. B. Ward built very large freighter ships.
2022-10-22T13:58:57+00:00,1117581813,1117573092,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ In my research for creating the article on E B Ward I never came across a ''SS John Sherman'' ship out of Ludington
2022-10-22T12:51:23+00:00,1117573092,1117570495,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ This proves that they are two different ships. No connection between the two.
2022-10-22T12:21:30+00:00,1117569625,1117567892,1,Doug_Coldwell,Talk:SS John Sherman/GA2,"/* GA Reassessment */ The 1872 ''USCGC Sherman'' of Cleveland is NOT the 1873 ''SS John Sherman'' of Ludington, Michigan."
2022-10-22T10:09:38+00:00,1117555002,1117475809,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */  no matches for the nineteenth century
2022-10-21T19:13:07+00:00,1117441559,1116123811,1,Doug_Coldwell,Talk:SS John Sherman/GA2,/* GA Reassessment */ ping|Hog Farm that I now have Frederickson boo.
2022-10-21T18:58:58+00:00,1117439171,1116103348,1,Doug_Coldwell,SS John Sherman,/* History */ ce on dates of engines usage
2022-10-20T13:32:11+00:00,1117207274,1117207132,1,Doug_Coldwell,Talk:William L. Mercereau,/* Inconsistencies in article compared to the train ferry article */minor fixes
