timestamp,revid,parentid,sock,user,page,message
2021-09-29T19:53:39+00:00,1047244039,1041593616,1,TristanMoens,Marie of Romania,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:38+00:00,1047244022,1021863013,1,TristanMoens,Izabela Sadoveanu-Evan,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:37+00:00,1047244025,1044655368,1,TristanMoens,Elisabeth of Wied,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:37+00:00,1047244021,1016800280,1,TristanMoens,Eugenia de Reuss Ianculescu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:37+00:00,1047244020,1045985809,1,TristanMoens,Cristina Nemerovschi,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:37+00:00,1047244019,999010980,1,TristanMoens,Smaranda Gheorghiu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:35+00:00,1047244017,1017602189,1,TristanMoens,Laura Pavel,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:35+00:00,1047244016,1045284092,1,TristanMoens,Ileana Mălăncioiu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:33+00:00,1047244004,993249381,1,TristanMoens,Profira Sadoveanu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244013,951814983,1,TristanMoens,Nina Josu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244012,1046304857,1,TristanMoens,Dora d'Istria,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244010,1038258052,1,TristanMoens,Maria Rosetti,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244007,1019659742,1,TristanMoens,Delia Grigore,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244006,1011528125,1,TristanMoens,Iulia Hasdeu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244003,1034928353,1,TristanMoens,Anneli Ute Gabanyi,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047244000,1004955057,1,TristanMoens,Cella Delavrancea,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243999,1043444376,1,TristanMoens,Magda Herzberger,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243998,1007297481,1,TristanMoens,Monica Lovinescu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243996,993268628,1,TristanMoens,Gabriella Csire,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243994,1021788781,1,TristanMoens,Ana Novac,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243993,1004955324,1,TristanMoens,Hortensia Papadat-Bengescu,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:32+00:00,1047243992,1009890355,1,TristanMoens,Mária Földes,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:31+00:00,1047244001,1039486810,1,TristanMoens,Anna de Noailles,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:31+00:00,1047243995,1022381079,1,TristanMoens,Zoe Dumitrescu-Bușulenga,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:31+00:00,1047243991,1032863338,1,TristanMoens,Lena Constante,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
2021-09-29T19:53:30+00:00,1047243987,1017615814,1,TristanMoens,Ana Blandiana,Copying from [[Category:Romanian women writers]] to [[Category:Romanian writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]]
